
*, *, 1, *, *, 770, 6686592.916666667, 36
*, *, 8, *, *, 200, 7499521.2, 40
*, *, 8, *, *, 170, 6216954.76744186, 43
*, *, 8, *, *, 810, 8599402.634146342, 41
*, *, 8, *, *, 750, 7352876.555555556, 36
*, *, 8, *, *, 400, 7423746.208333333, 48
*, *, 8, *, *, 370, 6948885.377777778, 45
*, *, 8, *, *, 310, 7624812.666666667, 42
*, *, 8, *, *, 790, 6493665.0, 39
*, *, 8, *, *, 150, 8593226.714285715, 35
*, *, 8, *, *, 890, 7708858.333333333, 33
*, *, 8, *, *, 190, 5538360.766666667, 30
Greater than threshold 120
