Suburb,Type,Rooms,Bathrooms,Parking,Area,Price
Zwide,Warehouse,2,3,0,310,11212398
Humewood,Warehouse,2,3,6,890,6465192
Central,Flat,7,3,6,400,1017673
Zwide,Flat,8,3,6,750,4961378
Central,Officeblock,2,1,1,770,3172334
Humewood,Flat,2,0,6,200,12153519
Missionvale,Flat,7,4,6,420,10088429
Walmer,House,6,3,4,580,664475
Zwide,House,3,1,8,310,9817109
Missionvale,Flat,4,3,12,770,13997172
Missionvale,Officeblock,4,2,0,420,14877466
Humewood,Officeblock,3,4,8,400,5052010
Walmer,Warehouse,1,3,8,580,13285002
Missionvale,House,3,4,2,310,257021
Walmer,Officeblock,6,0,1,520,5494835
Humewood,Warehouse,1,0,0,190,1314500
Walmer,Warehouse,4,4,8,520,995322
Humewood,Warehouse,5,3,4,400,3304544
Missionvale,Officeblock,3,3,4,420,6732810
Zwide,Flat,7,0,12,580,12178899
Missionvale,Officeblock,3,2,8,150,14984819
Walmer,Warehouse,6,4,6,420,4766507
Humewood,Flat,2,0,6,890,5036322
Zwide,House,1,2,12,770,8934977
Humewood,Warehouse,3,0,6,190,2934990
Missionvale,House,6,4,2,200,5036322
Zwide,Flat,6,4,12,170,10918301
Zwide,Warehouse,4,3,6,420,12054127
Walmer,Flat,6,3,4,190,10965063
Humewood,House,6,0,12,750,8474743
Summerstrand,House,2,4,12,770,4972749
Missionvale,Warehouse,5,0,12,200,7964802
Humewood,Flat,5,0,2,770,11227548
Missionvale,Warehouse,3,0,6,750,8258583
Humewood,Flat,4,4,0,200,3304544
Humewood,Warehouse,7,0,4,420,6465192
Walmer,Flat,8,2,4,890,4781296
Zwide,House,6,2,12,750,13339513
Humewood,Officeblock,2,3,2,810,12439589
Zwide,House,2,1,8,750,4821324
Central,House,5,3,0,190,9721930
Zwide,Officeblock,4,1,8,200,7580424
Summerstrand,House,6,3,6,170,10238838
Summerstrand,House,2,4,1,310,7827524
Central,Flat,5,1,12,150,9535470
Humewood,Officeblock,2,2,4,370,14810144
Zwide,Officeblock,3,2,6,190,9231781
Summerstrand,House,5,0,12,580,5873308
Central,House,8,1,6,890,10339186
Humewood,Officeblock,8,1,0,400,12660007
Missionvale,Warehouse,8,2,8,150,13439632
Central,House,8,4,0,750,5867639
Central,House,5,1,12,170,11759020
Missionvale,House,5,0,8,400,9535470
Walmer,Flat,1,0,1,810,13270557
Zwide,Flat,7,0,4,520,14877466
Walmer,Warehouse,2,4,12,770,13810525
Summerstrand,House,7,0,0,190,2550410
Zwide,Flat,3,2,12,150,9141967
Walmer,Officeblock,6,3,6,200,801494
Walmer,Warehouse,1,0,0,200,2633196
Missionvale,Warehouse,5,3,0,310,1571035
Zwide,Warehouse,8,3,6,810,5683676
Central,House,5,2,6,810,4176478
Missionvale,House,7,3,6,790,5162411
Missionvale,Warehouse,4,4,1,170,521786
Central,Warehouse,5,2,1,790,876507
Walmer,Flat,2,2,12,810,5492402
Missionvale,House,5,1,12,370,13727629
Walmer,Warehouse,5,1,12,890,2372920
Central,House,3,0,4,750,8572541
Zwide,Flat,6,1,2,810,5851500
Zwide,House,4,0,0,370,11227548
Central,Flat,6,0,6,150,12688335
Humewood,House,6,1,12,400,4597325
Walmer,Officeblock,2,3,0,310,8675906
Humewood,Warehouse,5,1,0,200,1096674
Zwide,Officeblock,7,1,8,420,5281168
Central,Flat,3,0,8,200,9817109
Humewood,Flat,8,3,12,370,3999236
Missionvale,Officeblock,5,1,2,400,13727629
Central,Warehouse,5,2,4,580,3336605
Summerstrand,House,1,3,1,310,4176478
Missionvale,Flat,5,4,0,890,10723180
Walmer,Flat,7,0,8,890,10052758
Humewood,Warehouse,7,4,4,770,7630131
Summerstrand,House,8,1,0,580,427669
Walmer,Flat,7,1,0,580,9970288
Central,Flat,2,2,6,770,4781296
Central,Flat,4,1,4,420,13890411
Walmer,Warehouse,5,4,12,310,3186669
Humewood,House,5,1,0,420,11152878
Missionvale,Flat,7,4,6,420,1329579
Missionvale,Flat,2,2,4,520,13187314
Walmer,Officeblock,6,3,6,420,2449077
Humewood,House,1,3,6,420,4317592
Humewood,House,3,1,2,790,12170082
Summerstrand,Flat,4,0,2,790,4152350
Missionvale,Warehouse,8,2,6,770,6377984
Walmer,Flat,4,0,8,150,4375304
Missionvale,Flat,7,2,0,400,8258583
Summerstrand,House,1,1,8,750,12788186
Walmer,Officeblock,5,0,0,370,12439589
Zwide,Warehouse,6,0,4,580,12080809
Central,House,2,2,1,790,9955348
Zwide,Warehouse,3,1,0,890,8914381
Summerstrand,House,6,4,2,890,14159453
Zwide,Flat,6,4,4,890,13164946
Central,Warehouse,8,1,8,790,3642864
Central,Warehouse,6,0,0,400,12054127
Walmer,Flat,1,1,1,810,3838037
Zwide,Officeblock,3,1,0,810,9178267
Walmer,House,8,2,6,810,11892977
Central,Flat,7,4,2,790,4035927
Central,House,6,2,2,770,2790216
Missionvale,Warehouse,5,2,6,790,9955348
Walmer,Officeblock,4,0,8,420,14032196
Central,Warehouse,1,4,0,420,4963004
Humewood,Warehouse,4,3,6,890,4486168
Humewood,Flat,7,3,12,790,3816149
Summerstrand,Officeblock,2,1,2,150,6578638
Missionvale,Officeblock,3,2,1,370,13727629
Missionvale,Warehouse,7,1,2,770,287456
Walmer,Officeblock,8,0,2,580,1948696
Zwide,Flat,7,4,12,890,8725131
Central,Warehouse,8,2,2,370,4286469
Missionvale,House,5,2,1,170,14943123
Summerstrand,Flat,2,1,6,890,4375304
Zwide,House,6,2,8,200,14159453
Central,Warehouse,7,1,0,150,10424300
Central,Officeblock,5,3,4,750,1571035
Summerstrand,Flat,8,1,12,310,5867639
Zwide,Warehouse,7,2,1,200,11174742
Walmer,Flat,5,3,4,400,13756276
Walmer,Warehouse,5,0,4,400,12648688
Summerstrand,Warehouse,5,0,6,770,10349292
Central,Officeblock,4,0,12,150,7974846
Missionvale,House,7,3,2,750,6465192
Humewood,Officeblock,6,4,8,520,9066286
Zwide,Officeblock,4,2,1,890,6578638
Zwide,Warehouse,6,3,1,170,12461555
Zwide,Flat,8,2,1,370,10718657
Zwide,House,1,3,1,810,83095
Walmer,Flat,6,0,0,400,12835619
Humewood,Flat,6,4,12,810,14773321
Summerstrand,Officeblock,8,2,0,580,10915666
Summerstrand,Officeblock,8,3,1,580,11729396
Missionvale,House,7,3,2,890,5162411
Walmer,Officeblock,2,2,1,420,1890935
Zwide,House,4,2,1,810,12170082
Summerstrand,Officeblock,7,1,1,790,4972749
Walmer,Flat,8,3,4,890,7511028
Walmer,House,8,2,12,520,13321366
Central,House,3,3,12,200,2633196
Zwide,House,7,2,8,770,12894158
Walmer,Warehouse,5,0,4,890,12789826
Central,House,1,0,4,170,12178899
Central,House,1,4,8,150,13880068
Central,Warehouse,5,1,0,810,5494835
Summerstrand,Warehouse,3,4,4,370,287456
Missionvale,Warehouse,5,1,6,890,5546080
Summerstrand,Warehouse,4,1,8,170,7641560
Humewood,Flat,6,2,1,790,7666748
Zwide,Warehouse,8,1,8,810,427669
Humewood,Flat,5,3,2,770,13270557
Zwide,Flat,5,3,6,890,6881571
Walmer,Officeblock,8,0,6,310,3160830
Central,Flat,6,3,4,370,5354925
Zwide,House,4,2,0,580,801494
Walmer,Flat,4,2,6,190,6377984
Summerstrand,Warehouse,7,4,4,150,1400431
Zwide,Warehouse,5,0,6,750,14480305
Missionvale,Warehouse,4,0,0,400,14768180
Missionvale,Officeblock,3,3,12,150,7580424
Zwide,House,8,4,8,150,13950390
Zwide,Officeblock,2,3,4,200,1864067
Central,Officeblock,2,4,6,200,1848307
Summerstrand,Officeblock,7,3,8,750,1744058
Humewood,Flat,6,4,0,170,833939
Walmer,Warehouse,7,2,12,890,8799465
Walmer,Flat,6,1,4,520,9809929
Humewood,Officeblock,4,1,2,400,12208778
Central,House,6,4,2,310,6377984
Central,Warehouse,5,0,1,150,7862916
Summerstrand,Flat,3,0,1,750,1744058
Zwide,House,8,3,1,170,1848307
Zwide,House,8,2,2,520,6901260
Missionvale,House,8,3,6,520,7641560
Missionvale,House,1,3,12,420,13727629
Missionvale,Warehouse,4,1,6,790,2222468
Walmer,Officeblock,3,2,2,200,10918301
Summerstrand,Officeblock,1,4,8,190,651367
Summerstrand,Flat,1,1,8,580,6377984
Zwide,Flat,6,3,8,200,6654895
Zwide,House,2,0,12,400,626708
Zwide,Officeblock,5,0,6,200,12770676
Summerstrand,Officeblock,2,0,8,370,10170801
Walmer,House,2,4,6,310,10257943
Summerstrand,Flat,7,2,1,310,10718657
Zwide,Warehouse,2,1,12,370,5851500
Walmer,Warehouse,3,3,1,890,12788186
Central,Warehouse,4,2,2,790,875105
Summerstrand,House,1,1,0,750,5074493
Missionvale,Flat,6,0,6,890,11526721
Central,House,4,0,8,790,3362446
Summerstrand,House,8,1,0,200,9395373
Walmer,Warehouse,7,0,0,150,7809779
Walmer,House,7,0,8,420,13645704
Walmer,House,3,2,0,400,7099751
Missionvale,Flat,1,2,8,770,2389718
Humewood,Officeblock,1,1,8,370,3186669
Zwide,House,6,0,12,890,906
Walmer,House,1,1,8,170,14480305
Missionvale,Flat,5,0,4,890,12848666
Humewood,House,7,1,8,420,12788186
Summerstrand,Warehouse,2,3,8,170,14585200
Humewood,House,7,3,1,370,276220
Missionvale,Officeblock,5,4,2,370,8331437
Central,House,4,0,2,790,13149660
Central,Flat,7,0,4,310,1744058
Missionvale,Warehouse,4,3,2,420,9209028
Missionvale,Officeblock,1,2,4,770,4152350
Zwide,Officeblock,8,2,4,200,9721930
Walmer,Warehouse,6,2,2,170,2098113
Walmer,House,2,2,1,150,14877466
Summerstrand,House,7,1,2,200,5873308
Summerstrand,Warehouse,3,0,0,190,9672810
Summerstrand,Warehouse,7,0,12,890,5546080
Walmer,Flat,4,1,2,370,1457995
Central,Warehouse,7,3,2,790,876463
Summerstrand,Officeblock,3,3,6,750,4133722
Central,Warehouse,8,3,1,370,1711897
Zwide,Warehouse,3,4,12,370,8296794
Zwide,Officeblock,5,1,0,190,1570167
Central,Officeblock,2,1,0,750,11911693
Humewood,Flat,2,4,1,420,13575148
Summerstrand,Flat,4,0,8,170,12060347
Humewood,Warehouse,1,3,1,150,3542864
Central,House,4,1,0,150,2734472
Missionvale,Warehouse,6,3,0,770,626708
Summerstrand,Officeblock,2,2,0,790,6831851
Zwide,Officeblock,1,4,1,420,2123867
Central,Flat,5,2,8,400,4597325
Missionvale,Flat,2,2,1,310,6831851
Walmer,House,3,2,2,150,4762430
Summerstrand,Warehouse,4,3,4,370,13781421
Walmer,House,6,3,1,200,13782609
Walmer,House,2,4,0,200,14467678
Zwide,Flat,3,2,4,200,4972749
Humewood,Flat,6,1,6,400,10723180
Walmer,Flat,6,2,2,810,10238692
Summerstrand,Flat,7,2,2,770,13781421
Walmer,Flat,6,3,0,310,10052758
Walmer,Warehouse,8,1,2,580,664475
Summerstrand,Officeblock,3,0,4,370,1676970
Central,Officeblock,3,3,0,310,12688335
Missionvale,House,2,4,0,190,1594447
Zwide,Flat,6,2,8,150,4696024
Zwide,Officeblock,2,1,4,420,340045
Missionvale,Warehouse,6,2,2,420,9608962
Summerstrand,Warehouse,1,0,8,150,10332102
Humewood,Warehouse,7,4,6,810,4450978
Summerstrand,Officeblock,2,4,0,810,12054127
Walmer,Officeblock,6,2,2,890,1538626
Central,House,5,3,8,200,7271115
Zwide,Warehouse,5,3,6,190,83095
Walmer,Warehouse,3,0,8,790,11212398
Walmer,House,1,2,8,170,340045
Zwide,Warehouse,5,2,12,190,3534567
Central,Officeblock,5,3,12,750,11682880
Walmer,Warehouse,6,2,0,810,3876219
Summerstrand,Officeblock,6,4,0,890,5895760
Central,Warehouse,6,4,12,770,5583257
Missionvale,House,7,0,4,750,8544359
Walmer,House,1,4,12,790,6061974
Missionvale,House,8,1,12,420,3816149
Central,Officeblock,4,0,4,790,3160830
Missionvale,House,1,1,4,370,9395373
Walmer,Warehouse,3,4,8,190,7297505
Missionvale,House,6,4,4,400,12250116
Missionvale,House,4,1,6,520,9901375
Central,House,1,0,1,190,651367
Summerstrand,House,3,0,0,770,4766507
Summerstrand,Flat,8,0,4,770,10257943
Summerstrand,House,7,2,8,770,12235344
Humewood,Officeblock,8,1,0,810,12165340
Summerstrand,Officeblock,2,1,6,400,13595086
Summerstrand,Flat,5,4,6,200,1538626
Zwide,House,1,4,12,150,5431442
Missionvale,Warehouse,1,4,0,170,2790216
Humewood,Warehouse,2,1,12,580,12208778
Zwide,Flat,1,2,6,810,5386074
Humewood,Warehouse,6,4,8,770,5630106
Missionvale,House,6,2,0,190,5375351
Central,Officeblock,7,1,2,150,11965705
Zwide,Flat,8,3,0,790,6807215
Summerstrand,Officeblock,3,3,4,520,14032196
Humewood,Flat,3,3,8,200,11921179
Walmer,House,5,0,1,150,5721363
Zwide,House,7,2,4,580,12555914
Central,House,5,4,12,790,2372920
Missionvale,House,8,1,1,770,1948696
Zwide,Warehouse,1,4,4,790,14032196
Central,House,2,3,12,150,3754287
Walmer,Officeblock,2,0,8,890,6945572
Central,Flat,1,2,2,520,1676970
Missionvale,Warehouse,1,3,0,770,1096674
Walmer,Officeblock,2,0,4,420,2449077
Walmer,Officeblock,6,4,1,420,5873308
Walmer,Warehouse,8,1,1,520,12882681
Missionvale,Flat,5,4,6,400,11468278
Walmer,Officeblock,4,4,8,420,12565096
Walmer,Officeblock,6,2,2,370,1400431
Summerstrand,Flat,6,3,4,890,1384856
Humewood,House,3,1,1,400,1117163
Central,Warehouse,6,2,0,790,9434531
Humewood,Officeblock,7,1,2,310,1570167
Humewood,House,7,3,8,790,14810144
Walmer,Officeblock,3,0,0,400,5583257
Humewood,Officeblock,5,1,8,420,14159453
Zwide,Officeblock,1,4,0,890,4286469
Central,Officeblock,5,0,1,190,13816270
Humewood,Officeblock,2,3,12,150,11174742
Central,Officeblock,1,0,12,770,6060750
Central,Officeblock,5,2,12,170,5492402
Walmer,Warehouse,7,0,1,890,8736917
Walmer,House,4,1,8,200,13149660
Central,Officeblock,6,3,4,370,1890935
Humewood,Officeblock,2,0,2,310,1939471
Missionvale,Flat,7,4,4,420,4510711
Central,House,6,3,12,790,3662800
Zwide,House,3,0,6,890,12240246
Humewood,Flat,3,4,2,200,5162411
Humewood,Flat,5,0,8,370,5702510
Humewood,Warehouse,6,1,2,190,1890935
Summerstrand,Officeblock,5,3,1,310,6470426
Walmer,Officeblock,1,2,2,400,4023816
Zwide,Warehouse,5,0,4,890,6106382
Zwide,House,4,4,12,520,6831851
Missionvale,Flat,5,3,0,190,14467678
Missionvale,Officeblock,7,0,0,520,5492402
Central,Warehouse,6,4,1,890,14209030
Zwide,Warehouse,4,4,6,520,5281168
Summerstrand,House,4,1,12,770,4597325
Humewood,Officeblock,8,1,0,420,9147088
Missionvale,Warehouse,1,4,4,370,10451628
Central,Warehouse,5,4,8,370,10349292
Summerstrand,House,2,4,8,420,5362349
Missionvale,Warehouse,6,3,8,520,8675906
Summerstrand,House,1,1,8,200,906
Humewood,House,8,0,1,400,4762430
Summerstrand,Officeblock,4,2,0,190,890613
Zwide,Warehouse,6,1,8,580,4542049
Zwide,House,6,4,2,200,995322
Summerstrand,House,5,2,8,770,1571035
Zwide,Officeblock,7,1,1,790,10238838
Humewood,Officeblock,3,0,4,190,7617779
Zwide,Warehouse,7,3,6,520,9895098
Summerstrand,Warehouse,4,2,2,520,5895760
Humewood,Warehouse,7,3,8,420,1538626
Zwide,Warehouse,1,2,4,400,2493630
Summerstrand,House,8,1,4,580,9465797
Missionvale,Officeblock,8,4,0,150,13214868
Central,Officeblock,4,3,2,370,9147088
Humewood,Officeblock,1,4,4,310,12175854
Summerstrand,Officeblock,3,2,4,200,9895098
Summerstrand,House,1,1,0,310,7964802
Humewood,Officeblock,2,4,4,580,12170082
Missionvale,Flat,5,3,6,890,14997398
Humewood,House,5,0,1,520,9791627
Walmer,Warehouse,3,4,0,150,8908108
Missionvale,Flat,4,0,0,810,2123867
Humewood,Officeblock,8,4,8,370,13285002
Humewood,House,2,0,1,190,13816270
Central,Officeblock,3,3,4,420,13781421
Missionvale,Warehouse,3,4,6,150,13782609
Zwide,Flat,5,0,6,170,9262913
Summerstrand,Warehouse,4,1,6,810,5148043
Central,House,2,0,1,770,4317592
Missionvale,Warehouse,1,2,8,580,14616757
Humewood,Warehouse,2,3,6,190,4035927
Zwide,Warehouse,2,1,4,310,1096674
Zwide,Flat,6,3,4,370,6217210
Walmer,Warehouse,7,0,2,520,5580729
Humewood,Warehouse,4,2,2,200,5386074
Humewood,Officeblock,5,4,12,790,4375304
Walmer,Officeblock,1,0,4,370,5162411
Walmer,Warehouse,7,1,12,810,9209028
Central,Warehouse,1,0,12,890,8296794
Missionvale,House,2,1,1,790,9182002
Missionvale,House,3,2,4,770,10332102
Central,Flat,1,1,8,750,544110
Walmer,House,8,3,12,750,9395373
Central,Officeblock,5,4,12,200,10753340
Summerstrand,Officeblock,4,0,2,790,1848307
Central,Warehouse,6,4,2,190,11729396
Summerstrand,Officeblock,6,2,4,810,6470426
Humewood,House,2,4,6,790,5683676
Summerstrand,House,2,0,0,370,2829094
Walmer,Flat,3,0,6,310,6658610
Walmer,House,7,0,2,750,12170082
Summerstrand,House,8,3,0,750,5248603
Humewood,Officeblock,6,4,2,890,12439589
Walmer,Officeblock,4,1,1,170,7641560
Zwide,House,6,0,8,420,12208778
Missionvale,House,1,0,12,200,3186669
Zwide,Warehouse,7,3,2,890,9678626
Humewood,Flat,5,0,4,770,10424300
Humewood,Officeblock,5,4,0,580,4597325
Walmer,Flat,7,2,12,420,1934400
Zwide,Warehouse,1,0,2,400,2734472
Humewood,House,1,3,8,420,10000969
Missionvale,House,5,3,2,150,8835388
Summerstrand,Flat,8,3,8,770,6654895
Zwide,House,2,4,1,790,558503
Walmer,House,3,3,4,790,975726
Humewood,Officeblock,6,4,8,420,12182706
Central,Warehouse,8,4,1,750,10339186
Summerstrand,House,5,3,2,310,11892977
Missionvale,Warehouse,5,1,4,420,3838037
Missionvale,Officeblock,8,3,6,750,2872496
Zwide,Flat,7,0,6,520,4486168
Central,Flat,8,0,2,400,5375351
Central,Flat,3,2,4,750,13321366
Zwide,Warehouse,8,2,2,520,8400118
Missionvale,House,2,4,1,190,12170082
Walmer,Flat,2,1,6,150,12240246
Central,Warehouse,7,1,4,190,10365230
Walmer,Warehouse,3,4,6,150,13880068
Central,Warehouse,6,3,2,790,11212398
Walmer,Flat,2,0,2,150,9649342
Humewood,Warehouse,5,1,1,170,4540369
Central,House,3,2,6,170,12153519
Summerstrand,House,8,3,2,520,1400431
Walmer,Flat,7,0,4,170,4375304
Zwide,Officeblock,2,0,6,790,2098113
Summerstrand,Officeblock,1,3,0,150,9791627
Walmer,Warehouse,8,4,2,200,890613
Missionvale,Warehouse,8,3,1,420,10238692
Zwide,Flat,5,4,8,520,4486168
Zwide,House,8,4,1,400,11558246
Missionvale,Warehouse,2,0,2,580,11759020
Central,House,1,0,0,790,4821324
Missionvale,Flat,4,0,8,400,8313872
Walmer,Officeblock,4,4,6,200,8975659
Walmer,Officeblock,3,2,0,520,8087896
Central,Flat,4,2,1,190,6807215
Missionvale,Warehouse,3,1,8,890,6807215
Missionvale,Flat,4,1,4,520,4542049
Central,Officeblock,7,1,1,750,2222468
Missionvale,Flat,7,1,12,150,10004857
Central,House,7,3,1,520,12175854
Zwide,Officeblock,7,3,6,150,521786
Missionvale,Warehouse,7,0,2,420,8021744
Zwide,Warehouse,6,3,0,580,14810144
Zwide,Warehouse,6,2,2,770,7964802
Summerstrand,Flat,5,2,8,810,995322
Summerstrand,Flat,8,0,2,520,1228128
Humewood,Warehouse,1,1,6,310,4108109
Humewood,Warehouse,2,0,0,890,12080809
Zwide,House,1,2,0,810,3459695
Central,Officeblock,1,3,1,190,7144412
Summerstrand,Officeblock,6,3,4,770,10339186
Central,House,7,2,8,400,2222468
Summerstrand,House,7,3,0,370,5492402
Summerstrand,House,1,4,1,580,3336605
Humewood,Flat,7,2,1,310,6205169
Summerstrand,Flat,2,4,1,750,876507
Zwide,Officeblock,3,3,1,580,14761420
Humewood,House,1,0,12,200,8409405
Missionvale,House,8,3,0,370,11767288
Walmer,House,2,0,8,370,11538764
Walmer,Warehouse,8,0,2,370,1676970
Central,Warehouse,5,3,4,420,12347505
Central,Flat,5,1,12,810,13178598
Walmer,House,3,1,12,770,11174742
Central,Officeblock,2,0,4,170,6217210
Humewood,Warehouse,8,2,4,420,7781809
Walmer,House,3,1,1,420,2969915
Humewood,Officeblock,8,3,4,810,1864067
Humewood,Flat,7,3,8,370,8772350
Central,House,3,4,8,420,11705020
Central,Officeblock,2,2,6,200,11705020
Zwide,Warehouse,8,4,8,750,11227548
Summerstrand,Officeblock,2,1,0,580,340045
Central,Flat,4,1,2,770,12054127
Walmer,Officeblock,2,2,2,170,3304544
Walmer,Flat,7,4,4,790,12083907
Summerstrand,Officeblock,8,0,4,400,12224966
Humewood,Officeblock,6,2,1,170,10683028
Walmer,Officeblock,3,1,12,400,9791627
Zwide,Warehouse,4,2,0,520,10965063
Humewood,Officeblock,3,0,0,200,14480305
Humewood,Officeblock,7,3,2,520,14997398
Summerstrand,Flat,4,4,8,750,11526721
Zwide,House,5,3,1,190,10723180
Zwide,Warehouse,3,2,0,770,14463202
Central,Officeblock,8,4,6,420,10238692
Missionvale,House,4,1,1,750,4510711
Central,Warehouse,8,3,12,520,13645704
Walmer,Warehouse,8,2,1,200,4597325
Zwide,House,5,0,1,420,5354925
Humewood,House,1,3,6,310,10339186
Humewood,House,4,3,1,190,2790216
Walmer,Flat,1,3,12,810,11174742
Central,Flat,8,0,1,400,1018769
Missionvale,Warehouse,8,0,12,810,8195204
Summerstrand,House,8,1,12,790,11918919
Central,Warehouse,1,4,4,890,9210932
Walmer,House,5,2,0,170,409303
Missionvale,Officeblock,2,3,6,790,7511028
Summerstrand,House,7,3,1,750,13871622
Central,Warehouse,4,2,1,810,13178598
Humewood,House,6,4,12,400,8088923
Humewood,Officeblock,4,1,4,150,5546080
Summerstrand,Flat,1,2,0,750,544110
Zwide,Officeblock,3,4,2,750,12182706
Missionvale,Warehouse,3,0,12,580,385879
Zwide,Officeblock,7,4,2,520,1314500
Missionvale,Warehouse,6,0,1,520,8975659
Zwide,Officeblock,4,4,4,150,2829094
Missionvale,Officeblock,6,2,8,580,1018769
Missionvale,Officeblock,7,4,4,810,7827524
Missionvale,Flat,7,2,8,580,2389718
Zwide,Warehouse,6,0,6,170,1848307
Central,Officeblock,3,2,8,580,11212398
Walmer,House,2,0,4,150,1165679
Central,Officeblock,1,2,12,890,1714999
Central,Officeblock,3,0,2,150,2373128
Walmer,Officeblock,3,2,6,310,14183765
Zwide,Flat,6,4,12,400,6217210
Central,Flat,3,3,0,170,10004857
Zwide,Officeblock,2,1,8,150,7099751
Walmer,Officeblock,7,4,12,580,2963559
Missionvale,Flat,4,2,2,370,9649342
Humewood,Warehouse,4,1,12,400,6324226
Walmer,House,1,3,1,150,4781296
Missionvale,House,7,4,4,790,1644011
Missionvale,House,7,2,6,580,3720419
Central,Flat,6,2,2,400,8799465
Walmer,Officeblock,8,4,6,170,9141967
Central,Officeblock,7,1,0,580,10257943
Zwide,Officeblock,5,2,12,520,13237728
Summerstrand,Warehouse,8,1,2,150,12848666
Summerstrand,House,8,2,6,200,13187314
Central,House,2,3,4,810,4317592
Central,Officeblock,5,3,12,810,2969915
Missionvale,House,7,0,2,420,4486168
Zwide,Flat,7,4,4,520,12789826
Walmer,Officeblock,8,4,4,370,2807403
Humewood,Warehouse,8,2,2,580,1323745
Zwide,Officeblock,2,3,1,170,11892977
Central,House,6,2,4,200,12660007
Summerstrand,Warehouse,4,0,1,170,9322790
Walmer,Flat,3,2,1,200,5162411
Missionvale,Officeblock,4,0,4,170,5494835
Zwide,House,4,2,2,810,5998301
Missionvale,Officeblock,7,2,1,770,5580729
Central,Warehouse,7,3,12,890,14997398
Humewood,Officeblock,7,3,2,170,4197490
Missionvale,House,5,3,2,770,1121120
Humewood,Warehouse,6,0,8,150,12636521
Walmer,Officeblock,5,1,0,400,10088429
Summerstrand,Warehouse,1,0,0,200,4522580
Summerstrand,House,7,4,0,890,10170801
Central,Warehouse,2,2,0,370,664475
Walmer,Flat,1,0,2,890,1018769
Humewood,Officeblock,8,2,6,520,4523922
Missionvale,Warehouse,6,1,0,770,4002059
Zwide,Flat,6,0,1,190,2599534
Humewood,House,8,1,6,200,13727629
Central,Warehouse,1,1,0,200,1513802
Central,Flat,8,1,8,420,3362446
Zwide,Officeblock,6,0,2,750,4766507
Central,Officeblock,3,3,0,200,5052010
Summerstrand,Warehouse,2,1,2,200,1017673
Summerstrand,House,3,3,1,790,1314500
Walmer,Warehouse,1,4,12,420,1513802
Missionvale,House,8,0,1,520,12648688
Zwide,Flat,3,4,12,890,9901375
Walmer,Flat,6,4,12,200,3186669
Missionvale,House,8,3,4,810,13164946
Zwide,Officeblock,2,0,8,750,9209028
Zwide,House,4,3,0,890,13164946
Summerstrand,Flat,6,1,6,750,13237728
Zwide,Warehouse,2,4,8,370,2963559
Missionvale,Flat,5,4,8,810,13818730
Summerstrand,House,4,1,8,150,11313826
Zwide,Flat,8,3,1,310,13237728
Zwide,Flat,5,3,1,370,13871622
Humewood,Officeblock,4,3,1,770,9809929
Central,Warehouse,5,2,4,310,287456
Summerstrand,Flat,4,1,2,420,11227548
Central,House,1,3,0,310,9623586
Summerstrand,House,3,2,12,150,10424300
Missionvale,House,3,0,0,190,3198514
Humewood,Flat,7,3,2,790,4486168
Zwide,Warehouse,7,0,0,770,9955348
Humewood,Flat,6,1,1,200,11307153
Humewood,Officeblock,8,3,0,790,9955348
Central,Flat,2,3,1,310,11152878
Humewood,Warehouse,7,0,1,400,13890411
Zwide,Officeblock,4,2,4,520,801494
Humewood,Flat,3,4,4,370,2100590
Central,Officeblock,4,0,1,200,651367
Missionvale,Flat,5,0,1,420,382769
Walmer,Officeblock,8,3,2,750,11174742
Summerstrand,Flat,7,3,8,170,6279396
Walmer,Warehouse,2,2,6,170,13816270
Humewood,Warehouse,8,3,1,370,1574907
Central,Officeblock,1,3,6,170,6093746
Central,Flat,4,2,1,750,1018769
Humewood,House,8,4,12,580,12643049
Walmer,Flat,7,3,1,790,287456
Summerstrand,House,7,3,2,790,10000969
Summerstrand,House,3,2,1,810,2872496
Zwide,House,8,1,1,310,6578638
Zwide,Officeblock,6,2,2,420,257021
Humewood,House,7,0,0,170,1263839
Missionvale,Flat,2,4,8,150,6654895
Zwide,House,6,1,8,150,9395373
Walmer,House,7,3,12,170,1121120
Walmer,House,6,2,8,810,1711897
Central,Officeblock,6,0,12,420,4056636
Humewood,Officeblock,6,2,1,770,2404738
Humewood,Flat,7,0,2,420,11705020
Central,Flat,1,3,1,370,8799465
Central,Officeblock,8,3,2,420,5074493
Summerstrand,Flat,3,0,0,370,12224966
Walmer,Flat,5,1,12,310,12347505
Walmer,Flat,5,1,8,170,2123867
Humewood,House,7,0,0,170,14773321
Summerstrand,Officeblock,6,0,12,310,875105
Central,House,6,1,12,150,808506
Missionvale,Officeblock,2,0,4,810,6205169
Summerstrand,Officeblock,3,0,4,580,5052010
Humewood,Warehouse,1,1,12,170,11370196
Summerstrand,House,8,2,2,810,5162411
Walmer,Flat,8,4,8,750,13321366
Missionvale,House,4,2,0,580,12882681
Missionvale,House,2,0,8,200,4523922
Central,Warehouse,3,3,12,890,7862916
Summerstrand,House,6,3,2,890,14467678
Zwide,Flat,2,1,6,310,4762430
Central,Officeblock,7,0,6,200,9791627
Humewood,Officeblock,2,3,12,810,1121120
Central,Flat,1,4,2,310,1571035
Walmer,Warehouse,6,0,1,420,7144412
Humewood,Warehouse,1,2,0,420,13594596
Zwide,Officeblock,4,4,6,890,13187314
